category,main_category,goal,outcome,backers,country
Gadgets,Technology,50,failed,1,US
Film & Video,Film & Video,22000,successful,134,US
Documentary,Film & Video,50000,successful,336,US
Mixed Media,Art,4000,failed,0,US
Indie Rock,Music,2000,successful,18,US
Video Games,Games,27500,failed,281,US
Print,Journalism,1000,failed,2,AU
Theater,Theater,1500,successful,19,US
Photobooks,Photography,5000,failed,57,US
Art,Art,2000,failed,10,US
Children's Books,Publishing,3500,successful,54,US
Shorts,Film & Video,1500,failed,13,US
Public Art,Art,170000,failed,0,US
Stationery,Crafts,600,successful,16,US
Publishing,Publishing,10000,successful,324,US
Country & Folk,Music,15000,successful,244,US
Film & Video,Film & Video,60000,successful,605,US
Spaces,Dance,5000,failed,4,US
Documentary,Film & Video,20000,failed,36,US
Food,Food,70000,canceled,0,US
Food,Food,10,failed,1,AU
Crafts,Crafts,3500,successful,76,US
Product Design,Design,25000,successful,104,US
Product Design,Design,5500,failed,1,US
Comic Books,Comics,3000,successful,80,CA
Documentary,Film & Video,5000,successful,44,US
Plays,Theater,2000,successful,24,US
Pop,Music,10000,successful,111,CA
Events,Food,30000,failed,4,US
Playing Cards,Games,30000,canceled,6,US
Food,Food,10000,successful,333,US
Food,Food,4500,canceled,16,US
Mixed Media,Art,3300,successful,50,US
Painting,Art,7000,failed,60,US
Gadgets,Technology,2500,successful,40,US
Product Design,Design,15000,successful,130,DE
Video Games,Games,150,failed,5,NL
Restaurants,Food,150000,failed,1,US
Art Books,Publishing,1500,failed,1,CA
Places,Photography,1000,failed,1,US
Shorts,Film & Video,5000,failed,0,US
Pop,Music,2600,failed,3,US
Faith,Music,6000,successful,34,US
Jazz,Music,45000,failed,234,US
Comic Books,Comics,1500,successful,57,US
People,Photography,15000,failed,2,US
Rock,Music,33000,failed,23,US
Woodworking,Crafts,700,successful,17,AU
Product Design,Design,20000,canceled,11,US
Comic Books,Comics,300,successful,28,US
Digital Art,Art,2000,successful,16,US
Technology,Technology,2500,failed,2,US
Product Design,Design,6500,failed,3,US
Nonfiction,Publishing,13500,failed,2,CA
Conceptual Art,Art,1500,failed,12,US
Textiles,Art,550,failed,0,US
Nonfiction,Publishing,6500,failed,0,CA
Dance,Dance,25000,successful,70,US
Comics,Comics,500,successful,21,US
Games,Games,135000,failed,61,DE
Design,Design,3500,failed,0,US
Film & Video,Film & Video,2000,successful,39,US
Academic,Publishing,100000,canceled,0,US
Crafts,Crafts,7500,failed,0,US
Video Games,Games,20000,failed,31,US
Apparel,Fashion,3000,canceled,1,US
Food,Food,15000,failed,15,AU
Art,Art,120000,canceled,0,NL
Country & Folk,Music,3500,failed,1,AU
Product Design,Design,19500,canceled,178,GB
Footwear,Fashion,20000,failed,7,GB
Faith,Music,4000,successful,45,US
Apparel,Fashion,7500,failed,3,US
Apparel,Fashion,24800,failed,25,US
Periodicals,Publishing,2000,successful,181,GB
Film & Video,Film & Video,3500,failed,1,US
Shorts,Film & Video,5500,successful,62,US
Music,Music,1000,successful,25,US
Mixed Media,Art,1500,successful,45,GB
Product Design,Design,20000,successful,2566,US
Tabletop Games,Games,3400,canceled,39,US
Music,Music,1000,successful,47,US
Theater,Theater,1000,successful,28,US
Hardware,Technology,50000,failed,292,US
Product Design,Design,350,successful,9,US
Shorts,Film & Video,1450,successful,24,US
Web,Technology,6930,failed,0,US
Tabletop Games,Games,300,failed,14,US
Food,Food,20000,successful,167,US
Drinks,Food,15000,canceled,0,US
Theater,Theater,4000,failed,3,US
Theater,Theater,8000,successful,144,US
Shorts,Film & Video,2000,failed,0,US
Publishing,Publishing,50000,failed,0,IE
Painting,Art,600,successful,3,SE
Video Games,Games,50000,failed,13,US
Robots,Technology,1000,successful,107,US
Food,Food,7000,failed,5,US
Product Design,Design,48000,failed,16,AU
Classical Music,Music,1500,failed,0,US
Vegan,Food,11000,successful,267,US
Children's Books,Publishing,2000,successful,61,US
Art,Art,250,failed,5,ES
Documentary,Film & Video,20000,canceled,75,US
Video Art,Art,25000,successful,127,CA
Apparel,Fashion,5000,failed,5,US
Pop,Music,8000,canceled,0,US
Publishing,Publishing,12000,failed,8,US
Film & Video,Film & Video,75000,failed,13,US
Technology,Technology,80000,failed,1,US
Comedy,Film & Video,2000,successful,20,US
Comedy,Film & Video,100,failed,1,CA
Fiction,Publishing,700,successful,36,US
Dance,Dance,2500,successful,65,US
Technology,Technology,999,failed,0,US
Comics,Comics,2500,successful,107,GB
Sculpture,Art,1500,successful,29,US
Art,Art,1000,failed,1,US
Apparel,Fashion,15000,failed,0,US
Animation,Film & Video,512,failed,8,US
Product Design,Design,35000,failed,91,US
Children's Books,Publishing,4500,failed,2,US
Photography,Photography,2000,failed,1,US
Plays,Theater,2500,successful,11,US
Tabletop Games,Games,10000,successful,417,US
Webseries,Film & Video,7000,successful,83,US
Documentary,Film & Video,9000,canceled,0,US
Events,Food,66600,failed,0,US
Fiction,Publishing,300,successful,14,US
Painting,Art,100,canceled,0,US
Rock,Music,1500,successful,19,US
Comics,Comics,8000,failed,23,US
Art,Art,5000,successful,51,US
Music,Music,17500,canceled,0,US
Horror,Film & Video,5500,failed,2,US
Indie Rock,Music,15000,successful,359,US
Science Fiction,Film & Video,40000,successful,284,US
Apps,Technology,11500,failed,6,AU
Tabletop Games,Games,7500,successful,725,US
Experimental,Film & Video,2000,failed,1,US
Software,Technology,50000,failed,0,MX
Music,Music,50,successful,5,GB
Electronic Music,Music,3000,successful,478,US
Technology,Technology,6900,failed,2,FR
Experimental,Film & Video,4500,successful,87,US
Small Batch,Food,1000,successful,62,US
Apps,Technology,3000,failed,46,GB
Documentary,Film & Video,6000,successful,61,US
Horror,Film & Video,40000,failed,2,US
Documentary,Film & Video,25000,successful,234,US
Webseries,Film & Video,50000,failed,125,US
Music,Music,15000,successful,89,US
Comedy,Publishing,250,canceled,49,US
Hardware,Technology,60000,successful,2180,US
Art,Art,2000,successful,35,US
Webcomics,Comics,500,successful,20,US
Metal,Music,3500,canceled,0,US
Music,Music,20000,failed,27,US
Footwear,Fashion,15000,failed,1,US
Fashion,Fashion,1000,failed,0,GB
Performance Art,Art,1500,successful,33,US
Tabletop Games,Games,500,failed,10,GB
Food,Food,24000,successful,135,US
Nonfiction,Publishing,5000,failed,1,GB
Shorts,Film & Video,650,failed,0,GB
Fashion,Fashion,27225,failed,6,US
Art,Art,7000,failed,2,US
Playing Cards,Games,22500,successful,1188,US
Apps,Technology,15000,canceled,0,GB
Product Design,Design,5000,failed,0,US
Nonfiction,Publishing,15000,successful,201,NZ
Video,Journalism,7500,canceled,0,US
Hardware,Technology,20000,failed,2,CA
Photography,Photography,4000,failed,2,US
Farms,Food,45000,failed,1,US
Fashion,Fashion,5000,successful,53,US
Music,Music,500,failed,1,US
Indie Rock,Music,500,failed,1,US
Accessories,Fashion,900,failed,0,DK
Painting,Art,4000,failed,7,GB
Comics,Comics,6000,successful,269,US
Electronic Music,Music,99,canceled,3,US
Graphic Design,Design,150,successful,3,US
Video Games,Games,100000,failed,1,US
Photography,Photography,1500,canceled,1,US
Illustration,Art,130000,successful,769,SE
Indie Rock,Music,3000,successful,35,US
Film & Video,Film & Video,10000,successful,77,US
Technology,Technology,50000,failed,2,US
Fashion,Fashion,10000,failed,31,US
Tabletop Games,Games,12000,successful,590,US
Technology,Technology,250000,failed,13,US
Mobile Games,Games,5000,failed,7,US
Small Batch,Food,14000,failed,1,AU
Crafts,Crafts,650,successful,42,US
Video Games,Games,1000,successful,22,US
Hip-Hop,Music,1700,failed,0,US
Fashion,Fashion,15000,successful,86,US
Poetry,Publishing,12000,successful,128,US
Comedy,Film & Video,1000000,failed,1,US
Hardware,Technology,350000,failed,13,DK
Painting,Art,23000,failed,3,US
Apparel,Fashion,700,failed,0,CA
Product Design,Design,30000,failed,2,US
Farms,Food,15000,failed,4,US
Fantasy,Film & Video,20000000,failed,0,AU
Musical,Theater,5000,failed,1,US
Apparel,Fashion,3000,failed,3,US
Fiction,Publishing,11011,canceled,0,US
Video Games,Games,30000,failed,15,CA
Shorts,Film & Video,55000,failed,0,US
Fashion,Fashion,5000,canceled,5,US
Tabletop Games,Games,16000,successful,552,GB
Music,Music,3500,failed,0,US
Ceramics,Art,3500,successful,55,US
Nonfiction,Publishing,5000,successful,38,US
Video Games,Games,12000,failed,44,GB
Shorts,Film & Video,10500,successful,63,US
Tabletop Games,Games,20000,failed,45,US
Crochet,Crafts,700,failed,2,US
Classical Music,Music,15000,failed,10,US
Documentary,Film & Video,50000,failed,4,US
Ready-to-wear,Fashion,7500,canceled,10,US
Music,Music,9000,successful,143,US
Experimental,Theater,5500,successful,117,GB
Action,Film & Video,3000,failed,0,US
Mobile Games,Games,2500,failed,0,AU
Hardware,Technology,33164,successful,757,FR
Music,Music,10000,successful,70,US
Apparel,Fashion,5000,failed,0,GB
Art Books,Publishing,150,successful,7,US
Country & Folk,Music,7000,failed,36,US
Children's Books,Publishing,4400,successful,90,US
Nature,Photography,7500,failed,1,US
Comic Books,Comics,50,failed,2,US
Journalism,Journalism,12500,successful,73,US
Metal,Music,3000,failed,4,NZ
Documentary,Film & Video,5000,successful,52,US
Fashion,Fashion,5000,successful,532,US
Comic Books,Comics,500,failed,13,GB
Product Design,Design,50000,failed,7,BE
Experimental,Film & Video,3400,failed,10,US
Art,Art,3000,successful,51,US
Print,Journalism,500,successful,52,US
Documentary,Film & Video,10000,failed,4,US
Apparel,Fashion,5000,failed,0,GB
Photography,Photography,1500,successful,36,US
Publishing,Publishing,30000,failed,1,US
Design,Design,45000,failed,18,US
Video Games,Games,20000,failed,26,AU
Product Design,Design,25000,canceled,54,US
Tabletop Games,Games,1000,successful,255,US
Public Art,Art,60000,failed,1,US
Video Games,Games,12000,canceled,34,US
Technology,Technology,41000,failed,10,US
Animation,Film & Video,5000,successful,4,US
Graphic Design,Design,4000,successful,101,US
Accessories,Fashion,1000,canceled,16,CA
Games,Games,50000,canceled,5,US
Horror,Film & Video,15000,successful,196,US
Music,Music,10000,failed,0,US
Sculpture,Art,47000,successful,730,US
Product Design,Design,7500,successful,139,US
Typography,Design,7250,failed,82,GB
Tabletop Games,Games,25000,successful,560,CA
Nonfiction,Publishing,10000,failed,0,AU
Fiction,Publishing,2725,successful,68,US
Music,Music,10000,failed,0,US
Crafts,Crafts,450,failed,0,US
World Music,Music,5500,successful,92,US
Kids,Music,800,failed,1,US
Mixed Media,Art,9000,failed,1,US
Rock,Music,32360,successful,406,US
Crafts,Crafts,5000,failed,0,US
Spaces,Food,10000,failed,1,US
Product Design,Design,2000,failed,1,US
Product Design,Design,38500,successful,474,US
Art,Art,5000,canceled,0,US
Video Games,Games,50000,failed,18,US
Public Art,Art,975,successful,17,US
Tabletop Games,Games,15000,successful,6199,US
Shorts,Film & Video,30000,failed,0,US
Product Design,Design,500,failed,11,US
Jazz,Music,900,successful,40,CA
Narrative Film,Film & Video,15000,canceled,0,US
DIY Electronics,Technology,30000,failed,27,US
Film & Video,Film & Video,16000,failed,2,US
Web,Technology,700,failed,0,US
Country & Folk,Music,1000,failed,6,US
Narrative Film,Film & Video,400,failed,11,US
Technology,Technology,2000,failed,15,US
Product Design,Design,5000,failed,2,US
Playing Cards,Games,12000,canceled,17,GB
Graphic Novels,Comics,30000,failed,1,US
Video Games,Games,3000,failed,0,AU
Indie Rock,Music,2000,successful,86,US
Food,Food,5000,canceled,11,US
Fashion,Fashion,10000,successful,110,US
Radio & Podcasts,Publishing,1000,failed,8,US
Drinks,Food,15000,successful,113,US
Web,Technology,600,failed,4,US
Calendars,Publishing,2600,successful,1155,US
Product Design,Design,1000,failed,7,GB
Documentary,Film & Video,14040,successful,212,DE
Crafts,Crafts,18200,successful,269,US
Photography,Photography,50000,canceled,1,US
Video Games,Games,5500,failed,4,US
Hardware,Technology,65000,successful,362,NO
Video Games,Games,60000,failed,5,US
Webseries,Film & Video,14500,successful,198,US
Technology,Technology,30000,canceled,236,US
Shorts,Film & Video,4300,failed,41,AU
Webcomics,Comics,500,failed,1,US
Young Adult,Publishing,1500,successful,35,CA
Design,Design,25000,failed,1,US
Pop,Music,40000,failed,0,CA
Fashion,Fashion,24000,failed,32,US
Restaurants,Food,12700,failed,7,US
Footwear,Fashion,12000,successful,80,FR
Tabletop Games,Games,10000,successful,878,US
Tabletop Games,Games,10000,successful,140,US
Food,Food,10000,failed,1,US
Apparel,Fashion,1500,successful,82,US
Publishing,Publishing,16000,successful,149,US
Web,Technology,15000,failed,1,NZ
Restaurants,Food,35000,failed,1,US
Food Trucks,Food,35000,failed,0,DE
Apparel,Fashion,18000,failed,5,US
Apparel,Fashion,440,failed,2,US
Music,Music,15000,failed,10,US
Video Games,Games,28000,failed,24,US
Festivals,Theater,9000,failed,24,GB
Mobile Games,Games,2000,failed,1,GB
Shorts,Film & Video,10000,failed,40,US
Rock,Music,2000,successful,52,US
Drama,Film & Video,900000,failed,0,US
Product Design,Design,30000,successful,451,US
Weaving,Crafts,600,failed,0,MX
Photography,Photography,2650,failed,59,US
Music,Music,21456,failed,1,US
Classical Music,Music,14700,successful,276,US
Crafts,Crafts,2000,failed,5,US
Graphic Design,Design,35000,successful,668,US
Apps,Technology,10000,failed,0,US
Documentary,Film & Video,20000,successful,255,CA
Photography,Photography,800,failed,1,NL
Nonfiction,Publishing,3500,failed,50,US
Crochet,Crafts,450,failed,4,US
Fiction,Publishing,20000,successful,1367,US
DIY Electronics,Technology,14000,failed,1,NZ
Fashion,Fashion,800,successful,14,US
Documentary,Film & Video,125000,canceled,5,US
Fiction,Publishing,5000,failed,14,US
Printing,Crafts,20000,failed,0,US
Food,Food,2000,failed,12,US
Tabletop Games,Games,8500,successful,361,US
Music Videos,Film & Video,2000,canceled,0,US
Crafts,Crafts,150000,failed,22,US
Webseries,Film & Video,1000,canceled,9,US
Product Design,Design,350,successful,38,GB
Fiction,Publishing,2235,successful,41,US
Classical Music,Music,5500,failed,56,US
Apparel,Fashion,15000,successful,799,US
Mixed Media,Art,7400,failed,10,US
Graphic Design,Design,2500,canceled,0,CA
Narrative Film,Film & Video,18000,successful,131,US
Rock,Music,1000,successful,25,US
Photography,Photography,2500,failed,3,US
Tabletop Games,Games,3500,successful,358,US
Photography,Photography,2500,failed,1,GB
Animation,Film & Video,14000,failed,0,US
Drama,Film & Video,400,failed,0,US
Product Design,Design,10000,failed,21,GB
Music,Music,10000,failed,17,US
Photography,Photography,800,successful,30,US
Architecture,Design,35000,failed,39,US
Narrative Film,Film & Video,10000,failed,0,US
Tabletop Games,Games,3000,successful,199,US
Architecture,Design,750000,failed,3,US
Shorts,Film & Video,5000,successful,133,US
Documentary,Film & Video,7500,failed,54,US
Illustration,Art,2000,successful,39,US
Film & Video,Film & Video,2500,failed,1,US
Indie Rock,Music,8000,successful,108,US
Young Adult,Publishing,5000,failed,0,US
Film & Video,Film & Video,1000,successful,39,US
Nature,Photography,5000,failed,1,DE
Art Books,Publishing,1600,successful,105,US
Product Design,Design,10000,successful,149,US
Drama,Film & Video,8500,failed,64,US
Crochet,Crafts,1000,failed,0,GB
Product Design,Design,5000,failed,4,US
Shorts,Film & Video,1250,failed,3,US
Dance,Dance,4000,failed,15,US
Food,Food,5000,failed,0,US
Apps,Technology,20000,failed,2,US
World Music,Music,5000,failed,2,US
Comics,Comics,3000,successful,91,CA
Movie Theaters,Film & Video,60000,successful,1049,US
Restaurants,Food,35000,failed,1,US
Film & Video,Film & Video,55000,failed,6,US
Fashion,Fashion,35000,failed,20,US
Film & Video,Film & Video,4000,successful,145,US
Theater,Theater,6000,successful,70,US
Shorts,Film & Video,239,successful,11,US
Illustration,Art,1200,failed,3,US
Tabletop Games,Games,1500,successful,14,US
Jazz,Music,7000,successful,98,US
World Music,Music,10000,failed,12,CA
Web,Technology,40000,failed,0,CH
Crafts,Crafts,2000,failed,1,US
Narrative Film,Film & Video,5000,failed,1,US
Hip-Hop,Music,10000,successful,323,US
Product Design,Design,180000,successful,62,HK
Restaurants,Food,5000,successful,97,US
Art,Art,15000,failed,10,AU
Nonfiction,Publishing,8000,successful,264,US
Video Games,Games,60000,failed,220,BE
Illustration,Art,10000,failed,11,US
Painting,Art,2491,successful,72,US
Animation,Film & Video,2400,successful,47,US
Embroidery,Crafts,475,failed,6,GB
Music,Music,23000,failed,32,US
Film & Video,Film & Video,6000,failed,4,US
Product Design,Design,90000,failed,265,US
Comics,Comics,2750,successful,78,US
Tabletop Games,Games,500,successful,690,US
Art,Art,3000,successful,20,US
Crochet,Crafts,50,successful,5,CA
Art,Art,5000,successful,105,US
Gadgets,Technology,10000,failed,7,NZ
Makerspaces,Technology,12000,successful,220,US
Apparel,Fashion,2000,failed,0,US
Music,Music,1600,failed,0,US
Shorts,Film & Video,12000,failed,5,US
Rock,Music,7500,successful,86,US
Interactive Design,Design,30000,failed,139,FR
Radio & Podcasts,Publishing,28000,failed,1,US
Theater,Theater,3000,successful,23,US
Thrillers,Film & Video,12500,failed,3,DE
Music,Music,2100,failed,5,US
Software,Technology,5000,failed,1,CA
Documentary,Film & Video,22000,failed,60,US
Experimental,Theater,95000,failed,5,US
Technology,Technology,135000,successful,2055,CA
Tabletop Games,Games,500,successful,279,US
Product Design,Design,58000,failed,2,US
Comic Books,Comics,1500,failed,14,US
Electronic Music,Music,350000,failed,0,US
Product Design,Design,25000,successful,422,US
Mixed Media,Art,3000,successful,43,US
Games,Games,5400,failed,3,US
Narrative Film,Film & Video,15000,failed,0,US
Product Design,Design,25000,canceled,1,US
Video Games,Games,5000,failed,3,US
Shorts,Film & Video,7500,failed,3,US
Narrative Film,Film & Video,10000,failed,4,US
Classical Music,Music,20000,failed,3,US
Film & Video,Film & Video,1500,successful,106,US
Nonfiction,Publishing,9500,failed,0,US
Children's Books,Publishing,3000,failed,4,US
Technology,Technology,35000,successful,2628,US
Vegan,Food,8000,successful,82,US
Webseries,Film & Video,3500,failed,7,US
Comedy,Publishing,50,successful,1,US
Spaces,Theater,5000000,failed,0,US
Architecture,Design,17500,failed,24,BE
Rock,Music,2000,canceled,0,US
Food,Food,65000,failed,9,US
Video Games,Games,90000,failed,28,US
Product Design,Design,50000,canceled,8,US
Classical Music,Music,2000,successful,14,US
Art,Art,500,failed,1,DE
Comedy,Film & Video,12000,failed,0,US
Rock,Music,2000,failed,17,US
Embroidery,Crafts,14300,failed,0,US
Food,Food,100000,failed,1,GB
Technology,Technology,5000,failed,3,US
Product Design,Design,50000,failed,1,US
Art,Art,3500,failed,4,US
Apparel,Fashion,45000,failed,2,US
Product Design,Design,100000,failed,14,US
Video Games,Games,990,canceled,8,US
Hardware,Technology,50000,failed,1,US
Apps,Technology,18000,failed,2,US
Performances,Dance,3200,successful,30,US
Shorts,Film & Video,10000,failed,26,US
Comedy,Film & Video,400,failed,0,GB
Documentary,Film & Video,25000,failed,50,US
Children's Books,Publishing,7000,failed,1,GB
Photography,Photography,2000,successful,89,US
Art Books,Publishing,17500,failed,10,US
Narrative Film,Film & Video,15000,failed,7,US
Comic Books,Comics,400,failed,5,US
Children's Books,Publishing,6000,successful,143,US
Installations,Art,3000,failed,11,US
Documentary,Film & Video,2500,failed,9,US
Art,Art,3025,canceled,0,US
Games,Games,2500,failed,1,US
Food,Food,9400,failed,69,US
Music,Music,1000,successful,18,US
Shorts,Film & Video,7500,failed,8,US
Product Design,Design,10000,successful,3846,US
Performances,Dance,2500,successful,45,US
Documentary,Film & Video,3000,failed,0,ES
Documentary,Film & Video,3750,successful,43,US
Apps,Technology,15000,failed,1,US
Apps,Technology,60000,failed,0,SE
Fine Art,Photography,8000,failed,7,US
Journalism,Journalism,2000,failed,0,AU
Nature,Photography,14000,successful,137,US
Publishing,Publishing,5000,failed,3,US
Romance,Film & Video,650000,failed,0,US
Comic Books,Comics,500,successful,19,US
Documentary,Film & Video,2500,failed,1,US
Painting,Art,50,successful,5,GB
Shorts,Film & Video,6000,successful,90,US
Woodworking,Crafts,250,successful,38,US
Video Games,Games,5000,failed,1,GB
Electronic Music,Music,1800,failed,3,US
Video Games,Games,65000,failed,267,GB
Drinks,Food,2400000,failed,0,US
Drama,Film & Video,1000,successful,21,AU
World Music,Music,2000,failed,3,US
Shorts,Film & Video,6600,successful,131,US
Comics,Comics,5000,canceled,2,US
Hip-Hop,Music,2500,failed,0,US
Documentary,Film & Video,50000,failed,1,US
Community Gardens,Food,78575,failed,1,US
Apps,Technology,20000,failed,0,IT
Hip-Hop,Music,5000,failed,2,US
Music,Music,1000,failed,0,US
Art,Art,400,successful,21,GB
Hip-Hop,Music,6000,failed,2,US
Design,Design,17000,failed,1,MX
Jewelry,Fashion,20000,failed,0,US
Art Books,Publishing,10000,failed,0,US
Video Games,Games,8000,successful,127,US
Product Design,Design,20000,failed,17,US
Food,Food,10000,canceled,2,US
Journalism,Journalism,30000,failed,8,US
Music,Music,10000,canceled,6,CA
Narrative Film,Film & Video,32000,failed,54,US
Hip-Hop,Music,5000,failed,0,US
Illustration,Art,1000,failed,2,GB
Apps,Technology,50000,failed,21,US
Drama,Film & Video,50000,failed,0,GB
Electronic Music,Music,2000,successful,31,AU
Music,Music,5000,successful,72,US
Classical Music,Music,2000,failed,2,GB
Fiction,Publishing,75000,failed,29,SE
Events,Comics,2500,successful,37,US
Video Games,Games,1000,failed,27,GB
Narrative Film,Film & Video,1000,successful,30,US
Electronic Music,Music,2000,successful,54,US
Video Games,Games,65000,failed,5,US
Children's Books,Publishing,5500,failed,4,US
Animals,Photography,4000,failed,2,GB
Public Art,Art,7800,failed,59,US
Mixed Media,Art,1100,successful,58,US
Painting,Art,15000,failed,0,NL
Pop,Music,1500,successful,29,US
Apparel,Fashion,5000,failed,0,ES
Romance,Film & Video,13400,failed,58,DE
Fiction,Publishing,6000,failed,4,US
Nonfiction,Publishing,14750,failed,0,US
Documentary,Film & Video,5000,failed,7,US
Crafts,Crafts,250,failed,1,US
Children's Books,Publishing,39600,failed,2,US
Country & Folk,Music,4000,successful,123,US
Video Games,Games,50000,successful,2243,GB
Music,Music,10000,successful,62,US
Music,Music,3500,successful,88,US
Electronic Music,Music,25,successful,4,GB
Photography,Photography,55,failed,2,US
Nonfiction,Publishing,2000,canceled,3,US
Music,Music,7500,failed,6,US
Apparel,Fashion,10000,failed,13,US
Design,Design,5000,failed,5,US
Product Design,Design,20000,failed,1,US
Product Design,Design,45000,failed,5,US
Design,Design,4990,successful,1366,NZ
Shorts,Film & Video,10000,failed,19,US
Indie Rock,Music,4500,failed,64,US
Technology,Technology,35000,failed,122,US
Rock,Music,500,successful,19,US
Publishing,Publishing,4000,failed,0,US
Theater,Theater,13000,failed,6,US
Drama,Film & Video,300000,failed,1293,AU
Technology,Technology,600000,failed,2,GB
Video Games,Games,5000,failed,2,US
Hardware,Technology,125000,successful,361,US
Shorts,Film & Video,2000,failed,7,US
Hip-Hop,Music,1500,failed,0,US
Tabletop Games,Games,20000,successful,1940,US
Fashion,Fashion,500,successful,16,US
Faith,Music,5500,successful,48,US
Electronic Music,Music,6000,failed,32,ES
Apparel,Fashion,75000,canceled,16,US
Film & Video,Film & Video,10000,successful,179,US
Wearables,Technology,7500,canceled,5,US
R&B,Music,2500,failed,0,US
Classical Music,Music,1250,canceled,0,US
Comedy,Film & Video,850,successful,21,US
Film & Video,Film & Video,20000,failed,0,US
Theater,Theater,15000,successful,374,US
Playing Cards,Games,2000,failed,3,GB
Dance,Dance,4000,failed,5,US
Publishing,Publishing,50000,failed,84,US
Pop,Music,35000,failed,0,DK
Film & Video,Film & Video,1000000,failed,1,US
Small Batch,Food,500,successful,30,US
Television,Film & Video,1000,canceled,4,US
Video Games,Games,10000,failed,136,US
Photobooks,Photography,7000,failed,3,US
Classical Music,Music,16500,canceled,11,US
Comics,Comics,50,successful,32,US
Hip-Hop,Music,35,failed,2,US
Music,Music,6250,failed,7,GB
Documentary,Film & Video,6000,failed,6,GB
Food,Food,20000,successful,232,US
Comedy,Film & Video,5000,successful,118,US
Theater,Theater,22000,failed,2,US
Mixed Media,Art,1550,failed,0,AU
Hip-Hop,Music,5000,failed,3,US
Rock,Music,1000,successful,31,US
Country & Folk,Music,3000,successful,47,US
Tabletop Games,Games,1860,failed,1,US
Apparel,Fashion,10000,canceled,9,US
Product Design,Design,5000,successful,851,US
Apps,Technology,356047,failed,1,NL
Pop,Music,20000,successful,221,US
Tabletop Games,Games,28000,successful,801,US
Drama,Film & Video,100000,canceled,1,US
Music,Music,3000,successful,39,US
Footwear,Fashion,14000,failed,18,US
Photobooks,Photography,13000,successful,524,DE
Product Design,Design,125000,failed,113,US
Art,Art,1000,failed,2,US
Classical Music,Music,1700,successful,21,US
Crafts,Crafts,5500,canceled,4,US
Shorts,Film & Video,300,successful,8,US
Software,Technology,15000,failed,15,CA
Apparel,Fashion,500,failed,2,GB
Games,Games,5000,successful,132,US
Rock,Music,5000,failed,12,US
Gadgets,Technology,25000,failed,1,AU
Children's Books,Publishing,4000,successful,73,US
Product Design,Design,2500,failed,1,US
Film & Video,Film & Video,1800,successful,42,US
Music,Music,15000,failed,0,US
People,Photography,8000,failed,1,US
Technology,Technology,25000,failed,0,US
Video Games,Games,500,failed,0,GB
Product Design,Design,12300,failed,1,US
Dance,Dance,5000,successful,51,US
Film & Video,Film & Video,10000,failed,33,US
Tabletop Games,Games,10000,successful,219382,US
Crafts,Crafts,2500,canceled,0,US
Webseries,Film & Video,20000,failed,4,US
Apps,Technology,75000,failed,15,US
Poetry,Publishing,20000,successful,42,US
Fiction,Publishing,5000,failed,0,CA
Art,Art,4000,successful,14,US
Photography,Photography,3500,failed,0,US
Documentary,Film & Video,4000,successful,49,US
Music,Music,10000,failed,0,US
Tabletop Games,Games,5000,successful,112,US
Narrative Film,Film & Video,6000,failed,7,US
Music Videos,Film & Video,46750,failed,7,US
Design,Design,8000,failed,9,US
Shorts,Film & Video,3200,successful,87,US
Crafts,Crafts,18000,successful,200,US
Video Games,Games,150000,failed,5,US
Children's Books,Publishing,2500,failed,13,US
Film & Video,Film & Video,550,failed,1,US
Digital Art,Art,600,successful,38,US
Country & Folk,Music,2500,successful,37,DE
Playing Cards,Games,1800,successful,250,GB
Electronic Music,Music,2222.22,failed,3,US
Dance,Dance,1500,failed,0,US
Nonfiction,Publishing,1500,failed,0,US
Technology,Technology,50000,failed,1,US
Drinks,Food,50000,failed,0,US
Video Games,Games,100,successful,5,US
Documentary,Film & Video,2700,canceled,11,US
Technology,Technology,6000,failed,0,US
Painting,Art,200,failed,0,AU
Art,Art,1500,failed,2,US
Tabletop Games,Games,20000,failed,6,US
Narrative Film,Film & Video,50000,failed,117,US
Painting,Art,1000,successful,6,CH
3D Printing,Technology,5000,failed,3,NL
Shorts,Film & Video,12000,failed,13,US
Theater,Theater,3000,successful,32,US
Hardware,Technology,50000,failed,49,CA
Space Exploration,Technology,75000,failed,10,GB
Product Design,Design,110000,failed,23,US
Music,Music,1000,failed,0,CA
Video Games,Games,480000,failed,87,US
Film & Video,Film & Video,10000,failed,7,US
Drama,Film & Video,6000,failed,2,US
Country & Folk,Music,5000,successful,45,US
Video Games,Games,5000,failed,1,US
Theater,Theater,500,successful,6,US
Food,Food,2750,successful,24,US
Shorts,Film & Video,5500,failed,0,AU
Crafts,Crafts,500,failed,0,AU
Photography,Photography,850,failed,4,GB
Documentary,Film & Video,250,failed,0,GB
Games,Games,10000,failed,10,US
Theater,Theater,8850,successful,104,US
Mobile Games,Games,8000,failed,1,US
Electronic Music,Music,3000,failed,1,US
Theater,Theater,475,successful,13,US
Product Design,Design,10000,failed,30,US
Music,Music,3000,successful,65,US
Children's Books,Publishing,3000,failed,7,US
Design,Design,30000,failed,1,US
Fashion,Fashion,3500,failed,22,US
Indie Rock,Music,600,successful,43,US
Action,Film & Video,3000,failed,1,GB
Theater,Theater,1500,successful,36,US
Food,Food,7400,failed,7,US
