customerid,tenure,phoneservice,internetservice,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn
8722-NGNBH,5,No,DSL,Month-to-month,No,Mailed check,40.00,223.45,True
6210-KBBPI,9,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),99.45,919.40,True
9643-YBLUR,9,Yes,DSL,Month-to-month,Yes,Credit card (automatic),69.05,653.95,False
8734-FNWVH,31,Yes,DSL,Month-to-month,No,Bank transfer (automatic),59.70,1825.50,False
9447-YPTBX,50,Yes,No,One year,Yes,Bank transfer (automatic),19.85,943.10,False
0133-BMFZO,2,Yes,Fiber optic,Month-to-month,Yes,Electronic check,86.25,181.65,True
6128-CZOMY,1,Yes,DSL,Month-to-month,Yes,Electronic check,45.65,45.65,True
9540-JYROE,8,Yes,Fiber optic,Month-to-month,Yes,Mailed check,70.10,551.35,True
9026-LHEVG,9,No,DSL,Month-to-month,No,Electronic check,40.75,359.40,False
2260-USTRB,2,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),70.20,115.95,True
3656-TKRVZ,3,Yes,DSL,Month-to-month,No,Electronic check,55.35,165.20,True
7011-CVEUC,25,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),95.70,2338.35,False
6185-TASNN,1,Yes,DSL,Month-to-month,No,Electronic check,46.30,46.30,False
7925-PNRGI,45,Yes,DSL,Month-to-month,No,Mailed check,81.30,3541.10,False
8623-TMRBY,51,Yes,Fiber optic,Month-to-month,Yes,Electronic check,84.20,4146.05,True
1552-CZCLL,55,Yes,No,Month-to-month,No,Credit card (automatic),20.00,1087.25,False
3038-PQIUY,38,Yes,DSL,Month-to-month,Yes,Bank transfer (automatic),66.15,2522.40,False
1501-SGHBW,2,Yes,DSL,Month-to-month,No,Mailed check,45.85,81.00,True
9313-CDOGY,38,Yes,No,Month-to-month,No,Electronic check,19.60,717.30,False
8148-BPLZQ,34,Yes,DSL,Month-to-month,Yes,Electronic check,49.80,1734.20,False
2623-DRYAM,70,Yes,Fiber optic,One year,Yes,Electronic check,101.75,7069.30,False
9987-LUTYD,13,Yes,DSL,One year,No,Mailed check,55.15,742.90,False
3208-YPIOE,39,Yes,Fiber optic,Month-to-month,No,Electronic check,75.25,3017.65,True
4488-KQFDT,61,Yes,Fiber optic,One year,Yes,Electronic check,103.95,6423.00,False
2612-RANWT,12,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),100.15,1164.30,True
5693-PIPCS,41,Yes,Fiber optic,Two year,Yes,Credit card (automatic),99.65,4220.35,False
0491-KAPQG,21,Yes,Fiber optic,Month-to-month,Yes,Electronic check,73.70,1558.70,False
1925-LFCZZ,55,No,DSL,One year,Yes,Bank transfer (automatic),50.05,2743.45,False
8039-EQPIM,69,No,DSL,Two year,No,Bank transfer (automatic),60.25,4055.50,False
6900-PXRMS,26,Yes,Fiber optic,Month-to-month,No,Electronic check,105.75,2710.25,True
8707-RMEZH,69,Yes,Fiber optic,One year,No,Credit card (automatic),87.30,6055.55,False
3346-BRMIS,18,No,DSL,Month-to-month,Yes,Electronic check,48.35,810.70,True
3209-ZPKFI,47,Yes,DSL,Month-to-month,No,Electronic check,54.25,2538.20,False
6479-VDGRK,72,Yes,DSL,Two year,No,Bank transfer (automatic),85.30,6129.20,False
9373-WSLOY,33,No,DSL,Month-to-month,Yes,Electronic check,50.00,1750.85,False
2933-FILNV,2,No,DSL,Month-to-month,Yes,Mailed check,24.40,36.55,True
3569-JFODW,72,Yes,DSL,Two year,No,Credit card (automatic),90.95,6652.45,False
9819-FBNSV,37,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),72.25,2575.45,False
9544-PYPSJ,62,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),96.10,6019.35,False
1591-XWLGB,71,Yes,No,Two year,No,Credit card (automatic),19.85,1379.60,False
0396-UKGAI,23,Yes,DSL,Month-to-month,Yes,Bank transfer (automatic),55.30,1284.20,False
3243-ZHOHY,16,Yes,No,One year,No,Mailed check,20.10,296.15,False
5186-EJEGL,9,Yes,DSL,Month-to-month,Yes,Mailed check,69.50,653.25,False
7527-QNRUS,17,Yes,No,Two year,Yes,Mailed check,25.15,412.60,False
9986-BONCE,4,Yes,No,Month-to-month,No,Bank transfer (automatic),20.95,85.50,True
2722-JMONI,1,Yes,DSL,Month-to-month,Yes,Electronic check,49.55,49.55,True
2203-GHNWN,24,Yes,Fiber optic,Month-to-month,Yes,Mailed check,79.65,1928.70,False
3878-AVSOQ,1,Yes,Fiber optic,Month-to-month,Yes,Electronic check,71.25,71.25,False
3258-SYSWS,72,Yes,Fiber optic,Two year,No,Bank transfer (automatic),113.80,7845.80,False
5296-PSYVW,72,Yes,No,Two year,No,Electronic check,24.55,1750.70,False
6319-QSUSR,11,Yes,No,Month-to-month,No,Credit card (automatic),19.70,216.20,False
4083-EUGRJ,9,Yes,No,Month-to-month,No,Mailed check,20.25,178.50,True
7579-OOPEC,2,Yes,DSL,Month-to-month,No,Credit card (automatic),50.15,115.10,True
0512-FLFDW,60,Yes,Fiber optic,One year,Yes,Credit card (automatic),100.50,6029.00,False
1771-OADNZ,29,Yes,Fiber optic,Month-to-month,Yes,Electronic check,95.90,2745.20,True
0487-CRLZF,49,Yes,DSL,Two year,Yes,Bank transfer (automatic),74.45,3721.90,False
2107-FBPTK,30,Yes,Fiber optic,Month-to-month,Yes,Electronic check,104.10,3121.10,False
9451-WLYRI,53,Yes,No,One year,No,Credit card (automatic),19.05,990.45,False
8219-VYBVI,39,Yes,No,Two year,No,Mailed check,25.00,1004.35,False
1991-VOPLL,9,Yes,No,Month-to-month,No,Mailed check,19.05,157.65,False
9738-QLWTP,39,Yes,Fiber optic,One year,No,Electronic check,81.90,3219.75,False
1016-DJTSV,8,Yes,Fiber optic,Month-to-month,Yes,Electronic check,69.70,572.85,False
9419-IPPBE,51,Yes,Fiber optic,One year,Yes,Electronic check,90.15,4554.85,False
0174-QRVVY,71,Yes,No,Two year,No,Credit card (automatic),25.35,1847.55,False
5699-BNCAS,71,Yes,No,Two year,Yes,Mailed check,24.65,1766.75,False
2900-PHPLN,70,Yes,No,Two year,Yes,Credit card (automatic),19.55,1462.05,False
0612-RTZZA,1,No,DSL,Month-to-month,No,Electronic check,25.25,25.25,True
8106-GWQOK,38,No,DSL,Two year,Yes,Bank transfer (automatic),60.00,2193.20,False
8751-EDEKA,28,Yes,Fiber optic,Month-to-month,No,Credit card (automatic),89.90,2433.50,False
6878-GGDWG,32,Yes,No,Month-to-month,No,Bank transfer (automatic),19.40,641.15,False
4039-PIMHX,49,Yes,DSL,Two year,No,Mailed check,49.80,2398.40,False
8450-LUGUK,37,Yes,No,Two year,Yes,Bank transfer (automatic),24.10,861.85,False
3604-WLABM,10,Yes,DSL,Month-to-month,No,Electronic check,54.25,583.00,False
0795-GMVQO,67,Yes,Fiber optic,One year,No,Credit card (automatic),109.90,7332.40,False
2259-OUUSZ,7,No,DSL,One year,Yes,Credit card (automatic),35.50,249.55,False
1142-IHLOO,51,Yes,Fiber optic,One year,No,Credit card (automatic),87.55,4475.90,False
6410-LEFEN,9,Yes,DSL,Month-to-month,No,Electronic check,45.15,416.45,True
4633-MKHYU,9,Yes,Fiber optic,Month-to-month,Yes,Mailed check,88.40,788.60,False
6257-RJOHI,4,Yes,DSL,Month-to-month,Yes,Mailed check,50.80,202.30,False
1545-JFUML,71,Yes,Fiber optic,Two year,Yes,Electronic check,99.00,6994.60,False
3194-ORPIK,50,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),84.40,4116.15,True
7826-VVKWT,24,Yes,Fiber optic,Two year,Yes,Electronic check,96.55,2263.45,False
1353-GHZOS,22,Yes,DSL,One year,Yes,Bank transfer (automatic),59.75,1374.35,False
2587-EKXTS,44,Yes,Fiber optic,Month-to-month,Yes,Electronic check,111.50,4915.15,False
5442-BXVND,33,Yes,No,Month-to-month,No,Bank transfer (automatic),24.25,838.50,False
8816-VXNZD,1,Yes,Fiber optic,Month-to-month,Yes,Electronic check,75.10,75.10,True
9378-FXTIZ,54,Yes,DSL,One year,Yes,Credit card (automatic),70.15,3715.65,True
1723-HKXJQ,42,Yes,Fiber optic,Month-to-month,Yes,Electronic check,101.75,4273.45,True
7825-GKXMW,1,Yes,DSL,Month-to-month,No,Electronic check,45.80,45.80,True
9753-OYLBX,1,Yes,No,Month-to-month,No,Mailed check,20.50,20.50,False
2364-UFROM,30,Yes,DSL,One year,No,Electronic check,70.40,2044.75,False
6656-JWRQX,1,No,DSL,Month-to-month,No,Mailed check,30.55,30.55,False
6473-ULUHT,16,Yes,DSL,Month-to-month,No,Electronic check,84.90,1398.25,False
1240-KNSEZ,1,Yes,No,Month-to-month,Yes,Mailed check,20.10,20.10,True
0836-SEYLU,9,No,DSL,Month-to-month,No,Mailed check,40.65,328.95,True
4433-JCGCG,46,Yes,Fiber optic,Month-to-month,Yes,Electronic check,101.00,4680.05,True
3716-BDVDB,1,Yes,Fiber optic,Month-to-month,Yes,Electronic check,69.10,69.10,True
7688-AWMDX,71,Yes,DSL,Two year,No,Bank transfer (automatic),54.50,3778.20,False
2842-BCQGE,43,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),75.35,3161.40,False
7244-QWYHG,50,No,DSL,One year,Yes,Bank transfer (automatic),44.45,2188.45,False
5899-MQZZL,13,Yes,Fiber optic,Month-to-month,Yes,Mailed check,75.00,999.45,True
6849-OYAMU,19,Yes,Fiber optic,One year,No,Bank transfer (automatic),100.00,1888.65,True
5312-UXESG,41,Yes,Fiber optic,Month-to-month,No,Bank transfer (automatic),98.05,3990.60,False
9488-HGMJH,1,Yes,Fiber optic,Month-to-month,Yes,Electronic check,71.15,71.15,True
6038-GCYEC,24,No,DSL,Month-to-month,Yes,Credit card (automatic),54.15,1240.25,True
2150-WLKUW,40,Yes,DSL,One year,No,Bank transfer (automatic),63.90,2635.00,False
7159-FVYPK,3,Yes,DSL,Month-to-month,Yes,Bank transfer (automatic),69.15,235.00,False
7032-LMBHI,37,Yes,DSL,One year,No,Bank transfer (automatic),64.65,2347.85,False
1150-WFARN,67,Yes,Fiber optic,Two year,Yes,Credit card (automatic),108.75,7156.20,True
6088-BXMRG,32,Yes,Fiber optic,Month-to-month,Yes,Electronic check,98.85,3089.60,False
3144-AUDBS,6,Yes,DSL,Month-to-month,Yes,Electronic check,49.15,270.80,True
4821-SJHJV,32,Yes,Fiber optic,Month-to-month,No,Electronic check,89.60,2901.80,False
7346-MEDWM,59,Yes,Fiber optic,Month-to-month,Yes,Electronic check,83.25,4949.10,False
1137-DGOWI,30,Yes,DSL,One year,No,Bank transfer (automatic),70.25,2198.90,False
5616-PRTNT,20,Yes,No,Month-to-month,Yes,Electronic check,19.40,374.50,True
3812-LRZIR,27,Yes,No,Two year,No,Electronic check,24.50,761.95,False
4818-QIUFN,20,Yes,Fiber optic,Month-to-month,Yes,Electronic check,79.15,1520.90,True
9483-GCPWE,9,Yes,No,One year,No,Mailed check,20.10,190.25,False
4227-OJHAL,68,Yes,DSL,One year,Yes,Credit card (automatic),73.00,5163.00,False
9220-CXRSC,69,Yes,DSL,Two year,No,Credit card (automatic),61.40,4059.85,False
4993-JCRGJ,26,Yes,Fiber optic,Month-to-month,Yes,Mailed check,84.30,2281.60,False
9537-JALFH,69,Yes,No,Two year,No,Bank transfer (automatic),19.90,1356.70,False
6698-OXETB,11,Yes,No,Two year,No,Mailed check,20.40,231.45,False
2103-ZRXFN,1,Yes,DSL,Month-to-month,No,Mailed check,50.75,50.75,False
3724-BSCVH,10,Yes,No,One year,No,Mailed check,20.45,242.40,False
4877-TSOFF,55,Yes,DSL,One year,Yes,Bank transfer (automatic),75.75,4264.25,False
9209-NWPGU,44,Yes,DSL,One year,No,Electronic check,65.40,2774.55,False
6961-VCPMC,46,Yes,Fiber optic,Month-to-month,Yes,Electronic check,80.40,3605.20,True
7306-YDSOI,69,Yes,DSL,Two year,Yes,Bank transfer (automatic),59.75,4069.90,False
5288-AHOUP,11,Yes,Fiber optic,Month-to-month,Yes,Electronic check,78.50,874.20,False
6688-UZPWD,11,Yes,Fiber optic,Month-to-month,Yes,Electronic check,102.00,1145.35,True
0655-YDGFJ,29,Yes,DSL,Month-to-month,No,Bank transfer (automatic),48.95,1323.70,False
8468-EHYJA,57,Yes,Fiber optic,Month-to-month,Yes,Electronic check,99.65,5497.05,False
6823-SIDFQ,28,Yes,No,One year,No,Credit card (automatic),18.25,534.70,False
1097-FSPVW,42,Yes,DSL,Month-to-month,No,Credit card (automatic),54.55,2455.05,False
2839-RFSQE,2,Yes,No,Month-to-month,No,Mailed check,20.65,38.70,True
8328-SKJNO,23,No,DSL,One year,No,Bank transfer (automatic),40.65,947.40,False
7010-ZMVBF,18,Yes,No,Month-to-month,No,Mailed check,20.45,357.00,False
5201-CBWYG,62,Yes,No,One year,No,Bank transfer (automatic),24.80,1476.25,False
0968-GSIKN,1,Yes,Fiber optic,Month-to-month,Yes,Mailed check,70.80,70.80,True
1965-DDBWU,16,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),89.05,1448.60,True
9057-SIHCH,3,Yes,Fiber optic,Month-to-month,Yes,Electronic check,96.60,291.90,True
6352-GIGGQ,67,Yes,DSL,One year,Yes,Bank transfer (automatic),88.80,5903.15,False
3635-QQRQD,62,Yes,No,Two year,Yes,Credit card (automatic),20.05,1201.65,False
6771-XWBDM,57,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),104.50,5921.35,True
2897-DOVND,2,Yes,Fiber optic,Month-to-month,Yes,Electronic check,69.80,146.65,False
3082-YVEKW,23,Yes,DSL,Two year,Yes,Bank transfer (automatic),77.15,1759.40,False
0191-EQUUH,25,No,DSL,Two year,No,Bank transfer (automatic),35.05,844.45,False
7134-HBPBS,72,Yes,Fiber optic,Two year,Yes,Bank transfer (automatic),108.10,7774.05,False
3489-HHPFY,2,Yes,Fiber optic,Month-to-month,Yes,Electronic check,84.05,134.05,False
2926-JEJJC,8,Yes,No,One year,Yes,Bank transfer (automatic),20.20,140.95,False
8601-QACRS,5,Yes,DSL,Month-to-month,Yes,Mailed check,50.60,249.95,True
4950-BDEUX,35,No,DSL,Month-to-month,No,Electronic check,49.20,1701.65,False
5789-LDFXO,24,Yes,No,One year,No,Electronic check,24.60,592.65,False
0508-OOLTO,2,Yes,Fiber optic,Month-to-month,Yes,Electronic check,71.65,135.75,False
2984-TBYKU,72,Yes,Fiber optic,Two year,Yes,Credit card (automatic),104.90,7732.65,False
9822-WMWVG,41,Yes,Fiber optic,Month-to-month,Yes,Electronic check,106.50,4282.40,False
2391-SOORI,4,Yes,DSL,Month-to-month,No,Electronic check,49.35,219.65,True
9040-KZVWO,26,Yes,Fiber optic,One year,No,Bank transfer (automatic),75.50,2018.10,False
2645-QTLMB,7,Yes,Fiber optic,Month-to-month,Yes,Electronic check,94.25,669.00,True
4806-HIPDW,1,Yes,Fiber optic,Month-to-month,Yes,Electronic check,68.95,68.95,True
1548-ARAGG,4,Yes,DSL,Month-to-month,Yes,Mailed check,58.50,224.85,False
6339-RZCBJ,48,Yes,DSL,Two year,No,Credit card (automatic),78.90,3771.50,False
4424-TKOPW,2,Yes,Fiber optic,Month-to-month,Yes,Electronic check,93.85,196.75,True
4415-WNGVR,12,Yes,DSL,One year,Yes,Electronic check,79.20,943.85,False
2522-AHJXR,60,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),109.45,6572.85,False
0412-UCCNP,55,Yes,DSL,Two year,Yes,Electronic check,59.20,3175.85,False
1816-FLZDK,1,No,DSL,Month-to-month,No,Mailed check,29.15,29.15,False
7096-UCLNH,1,Yes,No,Month-to-month,No,Mailed check,20.05,20.05,False
8443-ZRDBZ,4,Yes,Fiber optic,Month-to-month,Yes,Electronic check,76.05,318.90,True
9136-ALYBR,1,No,DSL,Month-to-month,Yes,Mailed check,24.45,24.45,True
4615-PIVVU,42,Yes,DSL,Two year,No,Credit card (automatic),66.50,2762.75,False
8885-QSQBX,1,Yes,DSL,Month-to-month,No,Bank transfer (automatic),49.55,49.55,False
7479-NITWS,7,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),89.35,631.85,True
8617-ENBDS,3,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),73.60,232.50,False
9385-NXKDA,72,Yes,DSL,Two year,Yes,Credit card (automatic),82.65,5919.35,False
0430-IHCDJ,15,Yes,DSL,Month-to-month,Yes,Electronic check,49.00,749.25,False
2959-MJHIC,4,Yes,Fiber optic,Month-to-month,Yes,Electronic check,80.35,307.40,True
6674-KVJHG,11,Yes,No,One year,No,Electronic check,25.20,245.15,False
1814-DKOLC,5,Yes,No,Month-to-month,No,Mailed check,25.45,134.75,False
4201-JMNGR,1,Yes,DSL,Month-to-month,Yes,Electronic check,55.80,55.80,True
9351-HXDMR,72,Yes,Fiber optic,Two year,Yes,Credit card (automatic),110.90,8240.85,False
3537-HPKQT,55,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),77.75,4266.40,False
2129-ALKBS,40,Yes,No,Month-to-month,Yes,Electronic check,26.20,1077.50,False
5821-MMEIL,57,Yes,No,Two year,No,Bank transfer (automatic),19.90,1115.60,False
5960-WPXQM,1,Yes,Fiber optic,Month-to-month,Yes,Electronic check,79.05,79.05,True
0684-AOSIH,1,Yes,Fiber optic,Month-to-month,Yes,Electronic check,95.00,95.00,True
8260-NGFNY,1,No,DSL,Month-to-month,No,Mailed check,25.20,25.20,True
1309-XGFSN,52,Yes,DSL,One year,Yes,Electronic check,80.85,4079.55,False
1866-RZZQS,41,Yes,Fiber optic,Month-to-month,Yes,Electronic check,98.40,4187.75,True
6968-URWQU,43,Yes,DSL,One year,Yes,Mailed check,56.35,2391.15,False
4742-TXUEX,47,Yes,No,Two year,No,Bank transfer (automatic),19.30,890.50,False
9631-XEYKE,3,Yes,DSL,Month-to-month,No,Bank transfer (automatic),50.40,137.25,False
8631-NBHFZ,66,Yes,DSL,Two year,No,Credit card (automatic),79.40,5154.60,True
1335-MXCSE,55,Yes,DSL,Two year,Yes,Credit card (automatic),55.25,3119.90,False
8873-TMKGR,29,Yes,No,One year,No,Mailed check,19.10,529.50,False
8800-JOOCF,12,Yes,Fiber optic,Month-to-month,Yes,Electronic check,84.05,966.55,False
1469-LBJQJ,66,Yes,Fiber optic,Month-to-month,Yes,Electronic check,105.20,6936.85,False
4958-XCBDQ,35,Yes,Fiber optic,Month-to-month,Yes,Electronic check,101.40,3496.30,True
8337-UPOAQ,10,Yes,Fiber optic,Month-to-month,Yes,Electronic check,89.80,914.30,True
0064-YIJGF,27,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),75.75,1929.00,False
2386-OWURY,58,Yes,Fiber optic,Month-to-month,Yes,Electronic check,95.30,5817.70,False
1725-IQNIY,54,Yes,Fiber optic,Two year,No,Bank transfer (automatic),109.75,6110.20,True
0310-VQXAM,9,Yes,No,Month-to-month,No,Mailed check,19.85,178.80,False
6598-RFFVI,2,Yes,No,One year,No,Credit card (automatic),19.30,28.30,True
3453-RTHJQ,6,Yes,Fiber optic,Month-to-month,Yes,Electronic check,69.10,435.00,False
6712-OAWRH,26,Yes,Fiber optic,Month-to-month,Yes,Electronic check,91.25,2351.80,True
6278-FEPBZ,9,Yes,No,Month-to-month,No,Mailed check,20.25,186.15,False
4280-DLSHD,8,Yes,DSL,Month-to-month,Yes,Mailed check,54.75,445.85,False
1508-DFXCU,12,Yes,Fiber optic,Month-to-month,Yes,Electronic check,81.45,912.00,False
8614-VGMMV,15,Yes,DSL,Month-to-month,Yes,Electronic check,49.10,679.55,True
7868-BGSZA,43,Yes,DSL,One year,Yes,Electronic check,80.20,3581.60,False
2800-QQUSO,42,Yes,Fiber optic,Month-to-month,Yes,Electronic check,100.30,4222.95,False
2930-UOTMB,31,Yes,DSL,Month-to-month,No,Credit card (automatic),65.25,1994.30,True
7973-DZRKH,66,Yes,Fiber optic,Two year,Yes,Credit card (automatic),90.95,5930.05,False
5914-DVBWJ,18,Yes,Fiber optic,Month-to-month,Yes,Electronic check,85.45,1505.85,True
7698-YFGEZ,1,Yes,No,Month-to-month,No,Mailed check,20.00,20.00,False
2533-QVMSK,61,Yes,Fiber optic,Two year,Yes,Electronic check,94.10,5638.30,True
9773-PEQBZ,10,Yes,Fiber optic,Month-to-month,No,Electronic check,79.85,797.25,False
8644-XLFBW,1,Yes,Fiber optic,Month-to-month,Yes,Electronic check,71.65,71.65,True
0650-BWOZN,18,Yes,Fiber optic,Month-to-month,Yes,Electronic check,73.55,1359.45,False
8625-AZYZY,24,Yes,Fiber optic,Month-to-month,Yes,Electronic check,104.65,2542.45,True
7785-RDVIG,3,Yes,No,Month-to-month,No,Mailed check,19.30,54.70,False
9602-WCXPI,50,Yes,No,One year,No,Credit card (automatic),20.15,989.05,False
2903-YYTBW,1,Yes,DSL,Month-to-month,No,Electronic check,44.55,44.55,False
3620-MWJNE,2,Yes,DSL,Month-to-month,Yes,Mailed check,54.45,87.30,False
8573-JGCZW,17,Yes,No,One year,Yes,Bank transfer (automatic),19.65,351.55,False
6837-HAEVO,69,Yes,Fiber optic,Two year,Yes,Electronic check,105.00,7297.75,False
6701-YVNQG,72,Yes,DSL,Two year,Yes,Credit card (automatic),88.70,6301.70,False
9306-CPCBC,3,Yes,Fiber optic,Month-to-month,Yes,Electronic check,74.25,210.30,True
4304-XUMGI,50,Yes,DSL,Two year,Yes,Bank transfer (automatic),75.15,3822.45,False
9504-YAZWB,53,Yes,No,Two year,No,Mailed check,20.25,1048.45,False
8819-ZBYNA,58,Yes,Fiber optic,Two year,Yes,Credit card (automatic),109.10,6393.65,False
6174-NRBTZ,46,No,DSL,One year,Yes,Bank transfer (automatic),30.75,1489.30,False
9481-IEBZY,72,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),112.90,8061.50,False
1833-VGRUM,1,Yes,Fiber optic,Month-to-month,Yes,Electronic check,74.20,74.20,True
6137-NICCO,6,Yes,Fiber optic,Month-to-month,Yes,Mailed check,94.05,518.75,False
9065-ZCPQX,72,Yes,DSL,Two year,No,Bank transfer (automatic),78.85,5763.15,False
6402-EJMWF,4,Yes,DSL,Month-to-month,Yes,Mailed check,55.30,238.50,False
3620-EHIMZ,52,Yes,No,Two year,No,Mailed check,19.35,1031.70,False
3213-VVOLG,0,Yes,No,Two year,No,Mailed check,25.35,0.00,False
6870-ECSHE,2,Yes,No,One year,No,Mailed check,20.45,34.80,False
8747-UDCOI,65,Yes,No,Two year,No,Bank transfer (automatic),19.35,1319.95,False
8374-XGEJJ,43,Yes,Fiber optic,Month-to-month,Yes,Electronic check,101.00,4388.40,True
2656-TABEH,4,Yes,Fiber optic,Month-to-month,Yes,Electronic check,100.20,420.20,True
6946-LMSQS,25,Yes,Fiber optic,One year,Yes,Electronic check,89.05,2177.45,True
4626-OZDTJ,51,Yes,DSL,One year,Yes,Credit card (automatic),78.65,3950.85,False
9169-BSVIN,12,Yes,DSL,Month-to-month,No,Bank transfer (automatic),74.75,827.05,False
2325-ZUSFD,57,Yes,DSL,One year,Yes,Bank transfer (automatic),70.10,3913.30,True
8194-PEEBY,24,Yes,No,One year,No,Mailed check,19.90,533.50,False
6872-HXFNF,64,Yes,DSL,One year,No,Bank transfer (automatic),58.35,3756.45,False
3932-CMDTD,4,Yes,Fiber optic,One year,Yes,Electronic check,105.65,443.90,True
7714-YXSMB,26,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),100.50,2599.95,False
8387-UGUSU,15,Yes,No,Month-to-month,No,Mailed check,20.05,284.30,False
1080-BWSYE,64,Yes,No,Two year,No,Credit card (automatic),25.65,1740.80,False
4039-HEUNW,36,Yes,Fiber optic,Month-to-month,Yes,Electronic check,96.50,3436.10,True
1194-HVAIF,27,Yes,Fiber optic,Month-to-month,No,Credit card (automatic),95.00,2462.55,False
0812-WUPTB,1,Yes,Fiber optic,Month-to-month,No,Mailed check,70.85,70.85,True
3594-UVONA,35,Yes,DSL,One year,Yes,Credit card (automatic),85.95,3110.10,True
0004-TLHLJ,4,Yes,Fiber optic,Month-to-month,Yes,Electronic check,73.90,280.85,True
1767-TGTKO,8,Yes,DSL,Month-to-month,Yes,Electronic check,45.45,411.75,False
8439-LTUGF,10,Yes,No,Month-to-month,Yes,Credit card (automatic),20.00,198.60,False
8805-JNRAZ,2,Yes,DSL,Month-to-month,No,Mailed check,49.20,103.70,False
5089-IFSDP,58,Yes,Fiber optic,Two year,Yes,Bank transfer (automatic),109.45,6144.55,True
6418-HNFED,51,Yes,DSL,Two year,Yes,Credit card (automatic),83.25,4089.45,False
0206-OYVOC,46,Yes,No,Two year,Yes,Mailed check,19.25,864.20,False
7291-CDTMJ,1,Yes,No,Month-to-month,Yes,Bank transfer (automatic),19.65,19.65,False
7128-GGCNO,46,Yes,Fiber optic,Month-to-month,No,Bank transfer (automatic),72.80,3249.40,False
0237-YFUTL,50,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),109.65,5405.80,False
7691-KGKGP,53,Yes,DSL,Month-to-month,No,Credit card (automatic),65.00,3363.80,False
6710-HSJRD,61,Yes,Fiber optic,Month-to-month,Yes,Electronic check,114.10,7132.15,False
3675-EQOZA,5,Yes,No,Month-to-month,No,Bank transfer (automatic),20.65,93.55,False
0840-DCNZE,47,Yes,DSL,One year,Yes,Bank transfer (automatic),86.95,4138.90,False
1732-FEKLD,54,Yes,Fiber optic,One year,Yes,Bank transfer (automatic),94.75,5121.75,False
9862-KJTYK,19,No,DSL,Month-to-month,Yes,Credit card (automatic),25.35,566.10,False
0479-HMSWA,26,Yes,Fiber optic,Two year,Yes,Electronic check,105.45,2715.30,False
5854-KSRBJ,70,Yes,No,Two year,No,Mailed check,25.40,1782.05,False
0365-BZUWY,17,Yes,Fiber optic,Month-to-month,Yes,Electronic check,102.55,1742.50,False
4817-VYYWS,30,Yes,Fiber optic,Month-to-month,Yes,Electronic check,100.20,2983.80,True
5701-SVCWR,1,Yes,No,Month-to-month,No,Mailed check,24.00,24.00,False
3129-AAQOU,19,Yes,No,Two year,No,Mailed check,25.60,485.90,False
4922-CVPDX,26,Yes,DSL,Two year,Yes,Credit card (automatic),73.50,1905.70,False
1396-QWFBJ,21,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),74.05,1565.70,True
1357-BIJKI,50,Yes,Fiber optic,One year,Yes,Electronic check,98.25,4858.70,False
1099-BTKWT,68,No,DSL,One year,Yes,Electronic check,54.40,3723.65,False
5299-SJCZT,3,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),101.55,298.35,True
2018-PZKMU,9,Yes,Fiber optic,Month-to-month,No,Electronic check,103.10,970.45,False
7340-KEFQE,51,No,DSL,Two year,No,Bank transfer (automatic),34.20,1782.00,False
4570-QHXHL,9,Yes,DSL,Month-to-month,Yes,Electronic check,43.75,405.70,False
2403-BCASL,41,Yes,Fiber optic,One year,Yes,Electronic check,111.95,4534.90,True
7392-YYPYJ,22,Yes,Fiber optic,Month-to-month,Yes,Electronic check,100.65,2415.95,False
2898-LSJGD,21,No,DSL,One year,Yes,Electronic check,55.95,1157.05,True
2223-GDSHL,71,Yes,Fiber optic,Two year,Yes,Bank transfer (automatic),116.05,8297.50,False
7359-PTSXY,1,Yes,DSL,Month-to-month,No,Electronic check,45.75,45.75,True
9470-RTWDV,26,Yes,DSL,One year,Yes,Credit card (automatic),82.00,2083.10,False
2176-OSJUV,71,Yes,DSL,Two year,No,Bank transfer (automatic),65.15,4681.75,False
9348-YVOMK,4,Yes,DSL,Month-to-month,Yes,Credit card (automatic),44.80,176.20,False
8104-OSKWT,12,Yes,Fiber optic,Month-to-month,Yes,Electronic check,79.80,1001.20,False
