Manufacturer Name,NDC Number,Drug Product Description,Date Introduced to Market,WAC at Introduction,Marketing/Pricing Plan Description,Marketing/Pricing Plan Non-Public Indicator,Estimated Number of Patients,Breakthrough Therapy Indicator,Priority Review Indicator,Acquisition Date,Acquisition Price,Acquisition Price Non-Public Indicator,Acquisition Price Comment,General Comments,Supporting Documents
"EMD Serono, Inc.",44087040007,Mavenclad (cladribine) 10 mg per tablet (7),2019-04-02,49749.9800,,1,,,,,,,,"This information is applicable to all submitted Mavenclad NDCs.  Mavenclad was approved for the treatment of relapsing forms of multiple sclerosis (MS), to include relapsing-remitting disease and active secondary progressive disease, in adults.  According to the National Multiple Sclerosis Society, MS is believed to affect nearly 1 million adults over the age of 18 in the United States.  Approximately 85% of people with MS are initially diagnosed with relapsing-remitting MS.  (www.nationalmssociety.org)",
"EMD Serono, Inc.",44087040008,Mavenclad (cladribine) 10 mg per tablet (8),2019-04-02,56857.1200,,1,,,,,,,,"This information is applicable to all submitted Mavenclad NDCs.  Mavenclad was approved for the treatment of relapsing forms of multiple sclerosis (MS), to include relapsing-remitting disease and active secondary progressive disease, in adults.  According to the National Multiple Sclerosis Society, MS is believed to affect nearly 1 million adults over the age of 18 in the United States.  Approximately 85% of people with MS are initially diagnosed with relapsing-remitting MS.  (www.nationalmssociety.org)",
"EMD Serono, Inc.",44087040009,Mavenclad (cladribine) 10 mg per tablet (9),2019-04-02,63964.2600,,1,,,,,,,,"This information is applicable to all submitted Mavenclad NDCs.  Mavenclad was approved for the treatment of relapsing forms of multiple sclerosis (MS), to include relapsing-remitting disease and active secondary progressive disease, in adults.  According to the National Multiple Sclerosis Society, MS is believed to affect nearly 1 million adults over the age of 18 in the United States.  Approximately 85% of people with MS are initially diagnosed with relapsing-remitting MS.  (www.nationalmssociety.org)",
"EMD Serono, Inc.",44087040010,Mavenclad (cladribine) 10 mg per tablet (10),2019-04-02,71071.4000,,1,,,,,,,,"This information is applicable to all submitted Mavenclad NDCs.  Mavenclad was approved for the treatment of relapsing forms of multiple sclerosis (MS), to include relapsing-remitting disease and active secondary progressive disease, in adults.  According to the National Multiple Sclerosis Society, MS is believed to affect nearly 1 million adults over the age of 18 in the United States.  Approximately 85% of people with MS are initially diagnosed with relapsing-remitting MS.  (www.nationalmssociety.org)",
"EMD Serono, Inc.",44087353501,Bavencio (avelumab) Injection,2019-05-14,1572.7000,,1,,1,1,,,,,"The monthly estimated patient total is internal information that is aspirational, is not publicly available, and is subject to market adoption.  BAVENCIO was approved in combination with axitinib for the first-line treatment of patients with advanced renal cell carcinoma (RCC).  According to the American Cancer Society, about 73,820 new cases of kidney cancer will occur in the United States in 2019 (https://www.cancer.org/cancer/kidney-cancer/about/key-statistics.html, last visited June 12, 2019).  Approximately 90% of kidney cancers are renal cell carcinomas (https://www.cancer.org/cancer/kidney-cancer/about/what-is-kidney-cancer.html, last visited June 12, 2019). Approximately 30% of RCC patients are first diagnosed with RCC at the advanced stage (https://seer.cancer.gov/statfacts/html/kidrp.html, last visited June 12, 2019).",
"Daiichi Sankyo, Inc.",65597040228,Turalio,2019-08-06,19800.0000,,1,,1,1,,,,,"WAC based on monthly price assuming 400mg daily.  As this is an oncology product, a ""course of treatment may vary."" The estimated patient population has not been made public.  Turalio was developed by Daiichi Sankyo, Inc.  There was no acquisition.",
"Daiichi Sankyo, Inc.",65597040220,Turalio,2019-08-06,19800.0000,,1,,1,1,,,,,"WAC based on monthly price assuming 400mg daily.  As this is an oncology product, a ""course of treatment may vary."" The estimated patient population has not been made public.  Turalio was developed by Daiichi Sankyo, Inc.  There was no acquisition.",
Zydus Pharmaceuticals (USA) Inc.,70710102108,Albendazole 200mg Tablets,2019-01-18,366.2800,,1,0,,,,0.0000,,,This is an AB rated generic product that was developed by Zydus.,
Zydus Pharmaceuticals (USA) Inc.,70710117903,Ambrisentan 5mg Tablets,2019-04-15,2500.0000,,1,0,,,,0.0000,,,This is an AB rated generic product that was developed by Zydus.,
Zydus Pharmaceuticals (USA) Inc.,70710118003,Ambrisentan 10mg Tablets,2019-04-15,2500.0000,,1,0,,,,0.0000,,,This is an AB rated generic product that was developed by Zydus,
Zydus Pharmaceuticals (USA) Inc.,70710101401,Phytonadione 5mg Tablet,2019-03-01,5358.9100,,1,0,,,,0.0000,,,This is an AB rated generic product that was developed by Zydus,
Zydus Pharmaceuticals (USA) Inc.,68382044614,Bosentan 62.5mg Tablet,2019-06-03,10038.5400,,1,0,,,,0.0000,,,"This is an AB rated generic product that was developed by Zydus.  As Zydus manufactures generic products, we do not estimate the number of patients that may be prescribed our products. We manufacture volume based on an estimated market share along with IQVIA EUTRx data and/or usages provided by our customers. Our manufactured volumes are based on national level data and we do not break these estimates down to a patient or state level.",
Zydus Pharmaceuticals (USA) Inc.,68382044714,Bosentan 125mg Tablet,2019-06-03,10038.5400,,1,0,,,,0.0000,,,"This is an AB rated generic product that was developed by Zydus. As Zydus manufactures generic products, we do not estimate the number of patients that may be prescribed our products. We manufacture volume based on an estimated market share along with IQVIA EUTRx data and/or usages provided by our customers. Our manufactured volumes are based on national level data and we do not break these estimates down to a patient or state level.",
Zydus Pharmaceuticals (USA) Inc.,70710120301,Trientine HCl 250mg Capsules,2019-05-29,15618.3400,,1,0,,,,0.0000,,,"This is an AB rated generic product that was developed by Zydus. As Zydus manufactures generic products, we do not estimate the number of patients that may be prescribed our products. We manufacture volume based on an estimated market share along with IQVIA EUTRx data and/or usages provided by our customers. Our manufactured volumes are based on national level data and we do not break these estimates down to a patient or state level.",
Zydus Pharmaceuticals (USA) Inc.,70710161006,Arsenic Trioxide Inj 12mg/6ml (10x6ml),2019-09-16,7698.2400,,1,0,,,,,,,"This is an AP rated injectable generic product that was developed by Zydus. Acquisition date and price are not applicable.  Additionally, as Zydus manufactures generic products, we do not estimate the number of patients that may be prescribed our products neither by state or nationally. We manufacture volume based on an estimated market share along with IQVIA EUTRx data and/or usages provided by our customers. Our manufactured volumes are based on national level data and we do not break these estimates down to a patient or state level. If IQVIA has a data point that states an estimated number of patients, it is not data that Zydus subscribes to.  Zydus feels that by entering IQVIA TRx data into ""Estimated Number of Patients"" column, it would be a misrepresentation of IQVIA's data as TRx is defined as the counts of total (new plus refill) prescriptions dispensed by pharmacists and not as the estimated number of patients.",
"Valeant Pharmaceuticals North America, LLC",00187065301,Duobrii External Lotion 0.01-0.045 %,2019-06-03,825.0000,,1,5240000,,,,,,,"This product was developed internally, not acquired",
Par Pharmaceutical,49884082011,Alosetron HCl Tablets 1mg   30s,2019-04-12,950.0000,,1,,1,,,,,,"The information contained in this report is subject to the following limitations and assumptions. (1) Consistent with the relevant statutes and regulations, all information contained in this report is limited to that which Par believes is otherwise in the public domain or publicly available, as of the date of this submission. As a result, Par has left the marketing and pricing plan description data field blank. (2) Par does not believe the estimated number of patients with a condition for which this product may be prescribed, consistent with its label, is in the public domain. As a result, Par has left the estimated number of patients data field blank.   (3) Par did not acquire this product. As a result, Par has left the acquisition related data fields blank.",
Par Pharmaceutical,49884035362,Ambrisentan Oral Tablet 5 MG  10s,2019-04-29,2588.8200,,1,,,,,,,,"The information contained in this report is subject to the following limitations and assumptions. (1) Consistent with the relevant statutes and regulations, all information contained in this report is limited to that which Par believes is otherwise in the public domain or publicly available, as of the date of this submission. As a result, Par has left the marketing and pricing plan description data field blank. (2) Par does not believe the estimated number of patients with a condition for which this product may be prescribed in the United States, consistent with its label, is in the public domain. As a result, Par has left the estimated number of patients data field blank.   (3) Par did not acquire this product. As a result, Par has left the acquisition related data fields blank.",
Par Pharmaceutical,49884035311,Ambrisentan Oral Tablet 5 MG  30s,2019-04-29,7766.4700,,1,,,,,,,,"The information contained in this report is subject to the following limitations and assumptions. (1) Consistent with the relevant statutes and regulations, all information contained in this report is limited to that which Par believes is otherwise in the public domain or publicly available, as of the date of this submission. As a result, Par has left the marketing and pricing plan description data field blank. (2) Par does not believe the estimated number of patients with a condition for which this product may be prescribed in the United States, consistent with its label, is in the public domain. As a result, Par has left the estimated number of patients data field blank.   (3) Par did not acquire this product. As a result, Par has left the acquisition related data fields blank.",
Par Pharmaceutical,49884035462,Ambrisentan Oral Tablet 10 MG   10s,2019-04-29,2588.8200,,1,,,,,,,,"The information contained in this report is subject to the following limitations and assumptions. (1) Consistent with the relevant statutes and regulations, all information contained in this report is limited to that which Par believes is otherwise in the public domain or publicly available, as of the date of this submission. As a result, Par has left the marketing and pricing plan description data field blank. (2) Par does not believe the estimated number of patients with a condition for which this product may be prescribed in the United States, consistent with its label, is in the public domain. As a result, Par has left the estimated number of patients data field blank.   (3) Par did not acquire this product. As a result, Par has left the acquisition related data fields blank.",
Par Pharmaceutical,49884035411,Ambrisentan Oral Tablet 10 MG  30s,2019-04-29,7766.4700,,1,,,,,,,,"The information contained in this report is subject to the following limitations and assumptions. (1) Consistent with the relevant statutes and regulations, all information contained in this report is limited to that which Par believes is otherwise in the public domain or publicly available, as of the date of this submission. As a result, Par has left the marketing and pricing plan description data field blank. (2) Par does not believe the estimated number of patients with a condition for which this product may be prescribed in the United States, consistent with its label, is in the public domain. As a result, Par has left the estimated number of patients data field blank.   (3) Par did not acquire this product. As a result, Par has left the acquisition related data fields blank.",
Par Pharmaceutical,49884005802,Bosentan Tablets 62.5mg  60s,2019-06-03,1163.1600,,1,,,,,,,,"The information contained in this report is subject to the following limitations and assumptions. (1) Consistent with the relevant statutes and regulations, all information contained in this report is limited to that which Par believes is otherwise in the public domain or publicly available, as of the date of this submission. As a result, Par has left the marketing and pricing plan description data field blank. (2) Par does not believe the estimated number of patients with a condition for which this product may be prescribed in the United States, consistent with its label, is in the public domain. As a result, Par has left the estimated number of patients data field blank.  (3) Par did not acquire this product. As a result, Par has left the acquisition related data fields blank.",
Par Pharmaceutical,49884005902,Bosentan Tablets 125mg  60s,2019-06-03,1163.1600,,1,,,,,,,,"The information contained in this report is subject to the following limitations and assumptions. (1) Consistent with the relevant statutes and regulations, all information contained in this report is limited to that which Par believes is otherwise in the public domain or publicly available, as of the date of this submission. As a result, Par has left the marketing and pricing plan description data field blank. (2) Par does not believe the estimated number of patients with a condition for which this product may be prescribed in the United States, consistent with its label, is in the public domain. As a result, Par has left the estimated number of patients data field blank.  (3) Par did not acquire this product. As a result, Par has left the acquisition related data fields blank.",
Par Pharmaceutical,00254302002,Nitisinone Capsules 2 mg 60 Capsules,2019-09-20,4359.5100,,1,150,,,,,,,"The information contained in this report is subject to the following limitations and assumptions. (1) Consistent with the relevant statutes and regulations, all information contained in this report is limited to that which Par believes is otherwise in the public domain or publicly available, as of the date of this submission. As a result, Par has left the marketing and pricing plan description data field blank. (2) This product is indicated for Tyrosinemia Type 1. Publicly available information indicates that between 100-200 cases have been diagnosed in the United States. See, e.g.,  https://www.centerwatch.com/drug-information/fda-approved-drugs/drug/765/orfadin-nitisinone; https://www.orfadin.com/support; https://www.businesswire.com/news/home/20181119005482/en/Longer-shelf-life-NITYR-nitisinone-tablets-HT-1. Based on estimates from the above sources, Par has provided 150 as the estimated number of patients with a condition for which this product may be prescribed in the United States, consistent with its label. Additionally, Par does not know, and does not have access to, the prescribing patterns of healthcare practitioners at the patient level. The reported figure is the median of the 100-200 diagnosed Tyrosinemia Type 1 cases in the United States, since Par is unable to provide a range in the “estimated number of patients” data field.   (3) Par did not acquire this product. As a result, Par has left the acquisition related data fields blank.",
Par Pharmaceutical,00254302102,Nitisinone Capsules 5 mg 60 Capsules,2019-09-20,10898.7100,,1,150,,,,,,,"The information contained in this report is subject to the following limitations and assumptions. (1) Consistent with the relevant statutes and regulations, all information contained in this report is limited to that which Par believes is otherwise in the public domain or publicly available, as of the date of this submission. As a result, Par has left the marketing and pricing plan description data field blank. (2) This product is indicated for Tyrosinemia Type 1. Publicly available information indicates that between 100-200 cases have been diagnosed in the United States. See, e.g.,  https://www.centerwatch.com/drug-information/fda-approved-drugs/drug/765/orfadin-nitisinone; https://www.orfadin.com/support; https://www.businesswire.com/news/home/20181119005482/en/Longer-shelf-life-NITYR-nitisinone-tablets-HT-1. Based on estimates from the above sources, Par has provided 150 as the estimated number of patients with a condition for which this product may be prescribed in the United States, consistent with its label. Additionally, Par does not know, and does not have access to, the prescribing patterns of healthcare practitioners at the patient level. The reported figure is the median of the 100-200 diagnosed Tyrosinemia Type 1 cases in the United States, since Par is unable to provide a range in the “estimated number of patients” data field.   (3) Par did not acquire this product. As a result, Par has left the acquisition related data fields blank.",
Par Pharmaceutical,00254302202,Nitisinone Capsules 10 mg 60 Capsules,2019-09-20,21797.4500,,1,150,,,,,,,"The information contained in this report is subject to the following limitations and assumptions. (1) Consistent with the relevant statutes and regulations, all information contained in this report is limited to that which Par believes is otherwise in the public domain or publicly available, as of the date of this submission. As a result, Par has left the marketing and pricing plan description data field blank. (2) This product is indicated for Tyrosinemia Type 1. Publicly available information indicates that between 100-200 cases have been diagnosed in the United States. See, e.g.,  https://www.centerwatch.com/drug-information/fda-approved-drugs/drug/765/orfadin-nitisinone; https://www.orfadin.com/support; https://www.businesswire.com/news/home/20181119005482/en/Longer-shelf-life-NITYR-nitisinone-tablets-HT-1. Based on estimates from the above sources, Par has provided 150 as the estimated number of patients with a condition for which this product may be prescribed in the United States, consistent with its label. Additionally, Par does not know, and does not have access to, the prescribing patterns of healthcare practitioners at the patient level. The reported figure is the median of the 100-200 diagnosed Tyrosinemia Type 1 cases in the United States, since Par is unable to provide a range in the “estimated number of patients” data field.   (3) Par did not acquire this product. As a result, Par has left the acquisition related data fields blank.",
Par Pharmaceutical,42023020601,Treprostinil Injection 20 mg/20 mL (1 mg/mL),2019-09-25,1209.6500,,1,750,,,,,,,"The information contained in this report is subject to the following limitations and assumptions. (1) Consistent with the relevant statutes and regulations, all information contained in this report is limited to that which Par believes is otherwise in the public domain or publicly available, as of the date of this submission. As a result, Par has left the marketing and pricing plan description data field blank. (2) This product is indicated to treat pulmonary arterial hypertension, which the National Organization for Rare Disorders (“NORD”) indicates between 500-1000 patients are diagnosed each year in the United States. See https://rarediseases.org/rare-diseases/pulmonary-arterial-hypertension/ . Based on this estimate, Par has provided 750 as the estimated number of patients with a condition for which this product may be prescribed in the United States, consistent with its label. Additionally, Par does not know, and does not have access to, the prescribing patterns of healthcare practitioners at the patient level. This product is the median of the 500-1000 diagnosed pulmonary arterial hypertension cases in the United States each year, since Par is unable to provide a range in the “estimated number of patients” data field.    (3) Par did not acquire this product. As a result, Par has left the acquisition related data fields blank.",
Par Pharmaceutical,42023020701,Treprostinil Injection 50 mg/20 mL (2.5 mg/mL),2019-09-25,3024.1400,,1,750,,,,,,,"The information contained in this report is subject to the following limitations and assumptions. (1) Consistent with the relevant statutes and regulations, all information contained in this report is limited to that which Par believes is otherwise in the public domain or publicly available, as of the date of this submission. As a result, Par has left the marketing and pricing plan description data field blank. (2) This product is indicated to treat pulmonary arterial hypertension, which the National Organization for Rare Disorders (“NORD”) indicates between 500-1000 patients are diagnosed each year in the United States. See https://rarediseases.org/rare-diseases/pulmonary-arterial-hypertension/ . Based on this estimate, Par has provided 750 as the estimated number of patients with a condition for which this product may be prescribed in the United States, consistent with its label. Additionally, Par does not know, and does not have access to, the prescribing patterns of healthcare practitioners at the patient level. This product is the median of the 500-1000 diagnosed pulmonary arterial hypertension cases in the United States each year, since Par is unable to provide a range in the “estimated number of patients” data field.    (3) Par did not acquire this product. As a result, Par has left the acquisition related data fields blank.",
Par Pharmaceutical,42023020801,Treprostinil Injection 100 mg/20 mL (5 mg/mL),2019-09-25,6048.2700,,1,750,,,,,,,"The information contained in this report is subject to the following limitations and assumptions. (1) Consistent with the relevant statutes and regulations, all information contained in this report is limited to that which Par believes is otherwise in the public domain or publicly available, as of the date of this submission. As a result, Par has left the marketing and pricing plan description data field blank. (2) This product is indicated to treat pulmonary arterial hypertension, which the National Organization for Rare Disorders (“NORD”) indicates between 500-1000 patients are diagnosed each year in the United States. See https://rarediseases.org/rare-diseases/pulmonary-arterial-hypertension/ . Based on this estimate, Par has provided 750 as the estimated number of patients with a condition for which this product may be prescribed in the United States, consistent with its label. Additionally, Par does not know, and does not have access to, the prescribing patterns of healthcare practitioners at the patient level. This product is the median of the 500-1000 diagnosed pulmonary arterial hypertension cases in the United States each year, since Par is unable to provide a range in the “estimated number of patients” data field.    (3) Par did not acquire this product. As a result, Par has left the acquisition related data fields blank.",
Par Pharmaceutical,42023020901,Treprostinil Injection 200 mg/20 mL (10 mg/mL),2019-09-25,12096.5400,,1,750,,,,,,,"The information contained in this report is subject to the following limitations and assumptions. (1) Consistent with the relevant statutes and regulations, all information contained in this report is limited to that which Par believes is otherwise in the public domain or publicly available, as of the date of this submission. As a result, Par has left the marketing and pricing plan description data field blank. (2) This product is indicated to treat pulmonary arterial hypertension, which the National Organization for Rare Disorders (“NORD”) indicates between 500-1000 patients are diagnosed each year in the United States. See https://rarediseases.org/rare-diseases/pulmonary-arterial-hypertension/ . Based on this estimate, Par has provided 750 as the estimated number of patients with a condition for which this product may be prescribed in the United States, consistent with its label. Additionally, Par does not know, and does not have access to, the prescribing patterns of healthcare practitioners at the patient level. This product is the median of the 500-1000 diagnosed pulmonary arterial hypertension cases in the United States each year, since Par is unable to provide a range in the “estimated number of patients” data field.    (3) Par did not acquire this product. As a result, Par has left the acquisition related data fields blank.",
Biocodex USA,68418793906,Stiripentol Oral Capsule 250 MG,2019-04-26,1500.0000,,1,196,,,,,,,This drug was not acquired,
Biocodex USA,68418794006,Stiripentol Oral Capsule 500 MG,2019-04-26,3000.0000,,1,196,,,,,,,This drug was not acquired,
Biocodex USA,68418794106,Stiripentol Oral Packet 250 MG,2019-04-26,1500.0000,,1,196,,,,,,,This drug was not acquired,
Biocodex USA,68418794206,Stiripentol Oral Packet 500 MG,2019-04-26,3000.0000,,1,196,,,,,,,This drug was not acquired,
"Sage Therapeutics, Inc.",72152054720,ZULRESSO (brexanolone) injection CIV,2019-06-20,7450.0000,,1,,1,1,,,,,"Comment regarding fields 5, 7, and 12: Sage Therapeutics has not released information on the marketing/pricing plan for ZULRESSO, or the estimated number of patients in the public domain and does not believe this information is publicly available.  The acquisition date and acquisition price are not applicable.  Sage Therapeutics developed ZULRESSO.",
"Sentynl Therapeutics, Inc.",42358010310,Levorphanol Tartrate Tablets 3mg,2019-01-21,6675.0000,,1,,,,,,,,"The product is a new 3 mg strength of levorphanol tartrate tablets developed by Sentynl Therapeutics, Inc. between 2015 and 2018 and not acquired from a third party.  The WAC reflects various factors, including, but not limited to, the cost of the Active Pharmaceutical Ingredient and the expenses associated with developing, manufacturing and offering the product for sale in the United States.  The product is currently indicated for the management of pain severe enough to require an opioid analgesic and for which alternative treatments are inadequate.  Thus, it is impossible to accurately estimate the number of patients in the United States with a condition for which this new prescription drug may be prescribed.",
AveXis,07189412002,Zolgensma® (onasemnogene abeparvovec-xioi)  is a one-time gene-therapy intravenous (IV) infusion. This NDC is for patients with a patient weight of 2.6 – 3.0kg,2019-05-24,2125000.0000,"The marketing for ZOLGENSMA® includes promotion to physicians, direct to consumer promotion, and other types of marketing (e.g., educational programs)",,150,1,1,,,,,"From June to December of 2019, we estimate that the average number of US patients prescribed ZOLGENSMA®  across all NDCs listed will be 150. Zolgensma® (onasemnogene abeparvovec-xioi)  is a landmark one-time, adeno-associated virus (AAV) vector-based gene-therapy treatment for pediatric patients less than 2 years of age with spinal muscular atrophy (SMA) with bi-allelic mutations in the survival motor neuron 1 (SMN1) gene. Zolgensma® is designed to address the genetic root cause of SMA by providing a functional copy of the human SMN gene to halt disease progression through sustained SMN protein expression with a single, one-time intravenous (IV) infusion.    AveXis provides this report consistent with its understanding and interpretation of California SB 17 Chapter 603 Chapter 9 § 127681 and its provisions. In providing this report, AveXis does not waive any rights that it may have at law or in equity with respect to the applicability, interpretation, or application of  California SB 17 Chapter 603 Chapter 9 § 127681 as it may relate to AveXis or any of its affiliates now or in the future. AveXis, on behalf of itself and affiliates, expressly reserves all such rights. We believe that this submission and of all AveXis related information herein is confidential and proprietary, commercial or financial information not subject to disclosure, including under the California Public Records Act (Government Code Section 6250 et seq.) and applicable laws pertaining to trade secrets.  We request that the confidentiality of this submission and of all AveXis’ related information herein be maintained to the maximum extent permitted by law. When any of this information is requested, whether under the California Public Records Act (Government Code Section 6250 et seq.) or otherwise, we request that Novartis is notified of the request and afforded the opportunity to submit objections to disclosure.",
AveXis,07189412103,Zolgensma® (onasemnogene abeparvovec-xioi)  is a one-time gene-therapy intravenous (IV) infusion. This NDC is for patients with a weight of 3.1 – 3.5kg,2019-05-24,2125000.0000,"The marketing for ZOLGENSMA® includes promotion to physicians, direct to consumer promotion, and other types of marketing (e.g., educational programs)",,150,1,1,,,,,"From June to December of 2019, we estimate that the average number of US patients prescribed ZOLGENSMA®  across all NDCs listed will be 150. Zolgensma® (onasemnogene abeparvovec-xioi)  is a landmark one-time, adeno-associated virus (AAV) vector-based gene-therapy treatment for pediatric patients less than 2 years of age with spinal muscular atrophy (SMA) with bi-allelic mutations in the survival motor neuron 1 (SMN1) gene. Zolgensma® is designed to address the genetic root cause of SMA by providing a functional copy of the human SMN gene to halt disease progression through sustained SMN protein expression with a single, one-time intravenous (IV) infusion.    AveXis provides this report consistent with its understanding and interpretation of California SB 17 Chapter 603 Chapter 9 § 127681 and its provisions. In providing this report, AveXis does not waive any rights that it may have at law or in equity with respect to the applicability, interpretation, or application of  California SB 17 Chapter 603 Chapter 9 § 127681 as it may relate to AveXis or any of its affiliates now or in the future. AveXis, on behalf of itself and affiliates, expressly reserves all such rights. We believe that this submission and of all AveXis related information herein is confidential and proprietary, commercial or financial information not subject to disclosure, including under the California Public Records Act (Government Code Section 6250 et seq.) and applicable laws pertaining to trade secrets.  We request that the confidentiality of this submission and of all AveXis’ related information herein be maintained to the maximum extent permitted by law. When any of this information is requested, whether under the California Public Records Act (Government Code Section 6250 et seq.) or otherwise, we request that Novartis is notified of the request and afforded the opportunity to submit objections to disclosure.",
AveXis,07189412203,Zolgensma® (onasemnogene abeparvovec-xioi)  is a one-time gene-therapy intravenous (IV) infusion.  This NDC is for patients with a weight of 3.6 – 4.0kg,2019-05-24,2125000.0000,"The marketing for ZOLGENSMA® includes promotion to physicians, direct to consumer promotion, and other types of marketing (e.g., educational programs)",,150,1,1,,,,,"Zolgensma® (onasemnogene abeparvovec-xioi)  is a landmark one-time, adeno-associated virus (AAV) vector-based gene-therapy treatment for pediatric patients less than 2 years of age with spinal muscular atrophy (SMA) with bi-allelic mutations in the survival motor neuron 1 (SMN1) gene. Zolgensma® is designed to address the genetic root cause of SMA by providing a functional copy of the human SMN gene to halt disease progression through sustained SMN protein expression with a single, one-time intravenous (IV) infusion.    AveXis provides this report consistent with its understanding and interpretation of California SB 17 Chapter 603 Chapter 9 § 127681 and its provisions. In providing this report, AveXis does not waive any rights that it may have at law or in equity with respect to the applicability, interpretation, or application of  California SB 17 Chapter 603 Chapter 9 § 127681 as it may relate to AveXis or any of its affiliates now or in the future. AveXis, on behalf of itself and affiliates, expressly reserves all such rights. We believe that this submission and of all AveXis related information herein is confidential and proprietary, commercial or financial information not subject to disclosure, including under the California Public Records Act (Government Code Section 6250 et seq.) and applicable laws pertaining to trade secrets.  We request that the confidentiality of this submission and of all AveXis’ related information herein be maintained to the maximum extent permitted by law. When any of this information is requested, whether under the California Public Records Act (Government Code Section 6250 et seq.) or otherwise, we request that Novartis is notified of the request and afforded the opportunity to submit objections to disclosure.",
AveXis,07189412303,Zolgensma® (onasemnogene abeparvovec-xioi)  is a one-time gene-therapy intravenous (IV) infusion.  This NDC is for patients with a weight of 4.1 – 4.5kg,2019-05-24,2125000.0000,"The marketing for ZOLGENSMA® includes promotion to physicians, direct to consumer promotion, and other types of marketing (e.g., educational programs)",,150,1,1,,,,,"Zolgensma® (onasemnogene abeparvovec-xioi)  is a landmark one-time, adeno-associated virus (AAV) vector-based gene-therapy treatment for pediatric patients less than 2 years of age with spinal muscular atrophy (SMA) with bi-allelic mutations in the survival motor neuron 1 (SMN1) gene. Zolgensma® is designed to address the genetic root cause of SMA by providing a functional copy of the human SMN gene to halt disease progression through sustained SMN protein expression with a single, one-time intravenous (IV) infusion.    AveXis provides this report consistent with its understanding and interpretation of California SB 17 Chapter 603 Chapter 9 § 127681 and its provisions. In providing this report, AveXis does not waive any rights that it may have at law or in equity with respect to the applicability, interpretation, or application of  California SB 17 Chapter 603 Chapter 9 § 127681 as it may relate to AveXis or any of its affiliates now or in the future. AveXis, on behalf of itself and affiliates, expressly reserves all such rights. We believe that this submission and of all AveXis related information herein is confidential and proprietary, commercial or financial information not subject to disclosure, including under the California Public Records Act (Government Code Section 6250 et seq.) and applicable laws pertaining to trade secrets.  We request that the confidentiality of this submission and of all AveXis’ related information herein be maintained to the maximum extent permitted by law. When any of this information is requested, whether under the California Public Records Act (Government Code Section 6250 et seq.) or otherwise, we request that Novartis is notified of the request and afforded the opportunity to submit objections to disclosure.",
AveXis,07189412404,Zolgensma® (onasemnogene abeparvovec-xioi)  is a one-time gene-therapy intravenous (IV) infusion.  This NDC is for patients with a weight of 4.6 – 5.0kg,2019-05-24,2125000.0000,"The marketing for ZOLGENSMA® includes promotion to physicians, direct to consumer promotion, and other types of marketing (e.g., educational programs)",,150,1,1,,,,,"Zolgensma® (onasemnogene abeparvovec-xioi)  is a landmark one-time, adeno-associated virus (AAV) vector-based gene-therapy treatment for pediatric patients less than 2 years of age with spinal muscular atrophy (SMA) with bi-allelic mutations in the survival motor neuron 1 (SMN1) gene. Zolgensma® is designed to address the genetic root cause of SMA by providing a functional copy of the human SMN gene to halt disease progression through sustained SMN protein expression with a single, one-time intravenous (IV) infusion.    AveXis provides this report consistent with its understanding and interpretation of California SB 17 Chapter 603 Chapter 9 § 127681 and its provisions. In providing this report, AveXis does not waive any rights that it may have at law or in equity with respect to the applicability, interpretation, or application of  California SB 17 Chapter 603 Chapter 9 § 127681 as it may relate to AveXis or any of its affiliates now or in the future. AveXis, on behalf of itself and affiliates, expressly reserves all such rights. We believe that this submission and of all AveXis related information herein is confidential and proprietary, commercial or financial information not subject to disclosure, including under the California Public Records Act (Government Code Section 6250 et seq.) and applicable laws pertaining to trade secrets.  We request that the confidentiality of this submission and of all AveXis’ related information herein be maintained to the maximum extent permitted by law. When any of this information is requested, whether under the California Public Records Act (Government Code Section 6250 et seq.) or otherwise, we request that Novartis is notified of the request and afforded the opportunity to submit objections to disclosure.",
